Close/Last,Volume,Open,High,Low
$182.52 ,45119680,$185.01 ,$185.04 ,$182.23 
$184.37 ,52292210,$183.48 ,$184.96 ,$182.46 
$182.32 ,41529670,$181.94 ,$182.89 ,$180.66 
$181.56 ,53665550,$181.79 ,$182.43 ,$180.00 
$182.31 ,49752470,$183.42 ,$184.85 ,$181.67 
$183.86 ,65434500,$183.55 ,$184.49 ,$181.35 
$184.15 ,54630520,$185.32 ,$185.53 ,$182.44 
$185.04 ,56529530,$185.77 ,$186.21 ,$183.51 
$187.15 ,41781930,$188.42 ,$188.67 ,$186.79 
$188.85 ,45155220,$188.65 ,$189.99 ,$188.00 
$188.32 ,40962050,$189.39 ,$189.54 ,$187.35 
$189.41 ,53438960,$190.64 ,$191.05 ,$188.61 
$189.30 ,43490760,$186.86 ,$189.31 ,$186.77 
$187.68 ,69668820,$188.15 ,$189.25 ,$185.84 
$185.85 ,102551700,$179.86 ,$187.33 ,$179.25 
$186.86 ,64885410,$183.99 ,$186.95 ,$183.82 
$184.40 ,55467800,$187.04 ,$187.10 ,$184.35 
$188.04 ,55859370,$190.94 ,$191.80 ,$187.47 
$191.73 ,47145620,$192.01 ,$192.20 ,$189.58 
$192.42 ,44594010,$194.27 ,$194.76 ,$191.94 
$194.17 ,54822130,$195.22 ,$196.27 ,$193.11 
$194.50 ,53631320,$195.42 ,$196.38 ,$194.34 
$195.18 ,42355590,$195.02 ,$195.75 ,$193.83 
$193.89 ,60133850,$192.30 ,$195.33 ,$192.26 
$191.56 ,68902990,$189.33 ,$191.95 ,$188.82 
$188.63 ,78005750,$186.09 ,$189.14 ,$185.83 
$182.68 ,47317430,$181.27 ,$182.93 ,$180.30 
$183.63 ,65603040,$182.16 ,$184.26 ,$180.93 
$185.92 ,40477780,$186.06 ,$186.74 ,$185.19 
$185.59 ,49128410,$186.54 ,$187.05 ,$183.62 
$186.19 ,46792910,$184.35 ,$186.40 ,$183.92 
$185.14 ,42841810,$183.92 ,$185.15 ,$182.73 
$185.56 ,59144470,$182.09 ,$185.60 ,$181.50 
$181.18 ,62379660,$181.99 ,$182.76 ,$180.17 
$181.91 ,71983570,$182.15 ,$183.09 ,$180.88 
$184.25 ,58414460,$184.22 ,$185.88 ,$183.43 
$185.64 ,82488670,$187.15 ,$188.44 ,$183.89 
$192.53 ,42672150,$193.90 ,$194.40 ,$191.73 
$193.58 ,34049900,$194.14 ,$194.66 ,$193.17 
